Category,Subcategory,Text
Payment,Delinquency Letter,PSD0101100 - Missed payment Received letter stating I am late with payment and owe $67.00.  Can you please tell what payment was missed and how a missed payment of $35.00 is now at $67.00 when I have only received one notification of missed payment?  I have been living here for 6 and a half years and have never missed or been late with a payment. 
Payment,Coupon Book,PSD0204401 - Coupon Books I want to know when will i receive my Coupon Books so that i don't be late on my HOA dues. 
Payment,Question,"WDS5005100 - Payment I received coupon books yesterday and as i pay once for the whole year, how can i make the payment "
Payment,Coupon Book,"WDS5004200 - Coupon books I received the coupon books and i want to pay the HOA dues for the whole year at once, how should i do that "
Maintenance,Other,Pipe leaking A water pipe outside my leaving room window is leaking heavily with rain water. Please fix asap before it damages the building.  
Website Access,Login Issues,PMN000C300 - LOgin issue Akshay called in and wanted to know the access code so that he can login on website 
Payment,Delinquency Letter,Delinquency Letter Jamie called in as she received a delinquency letter and she said that she was setup on auto payments. 
Payment,Question,"PSD0207100 - Payment Questions Leeza wanted to know the outstanding balance on her HOA account, also she promised to pay the outstanding balance on November, 15th 2018. "
Documents,Insurance Certificate,FRI0011700 - Insurance certificate He wanted the copy of the current insurance policy certificate. 
Payment,Make Payment,Paying HOA dues online Nitin said we are able to pay our HOA dues through the portal yet I do not see anywhere how to do this. Please provide instructions how to complete paying my HOA dues through the portal. 
Website Access,Login Issues,Website Access code - PSD0102701 James called in and wanted to get access code for the website as he was not able to register in. 
Payment,Coupon Book,Coupon books - WDS5005600 Yonn called in to get the coupon books for the month of September till December. and also where to send the ARC request. 
Information,Rental Cap,SVT5117D00 - Rental cap Amanda wanted to know that can the new HO rent the house. 
Payment,Question,2019 HOA dues payment Piyajit wanted to make payment for the complete year 2019 for the two lots she owns at 16629 168th Ter SE and 17201 Woodside Dr SE. She wanted to check if she can send two checks in one envelope. 
Resale Certificate,Resale Certificate,Requesting a resale certificate Randy would like to order a resale certificate in normal process. 
Website Access,Registration / Access Code,Woodside Homeowners Association 16732 Woodside Dr SE Renton WA 98058 - Registered Incorrect Information My name is Carrie Murillo-Oaks 
Website Access,Login Issues,WDS3008400 - Access code I have issue with my login to website. 
Information,Other,Information. Kevin called in to know where should he send the detail of request. 
Payment,Delinquency Letter,"WDS2003200 - Delinquency Letter Thomas received delinquency letter for an amount of $119.22 as of January 15th, 2019. He wanted a ledger for his HOA account.  "
Payment,Question,WDS1007000 - HOA Dues She called in to know the HOA dues 
Payment,Question,"SVT5118A00 - Payment questions Yevete sent a check to the previous company. She wanted to check if we received the check form previous company or not?
It was a cashiers check from BOA- check no. dated 9/5/18 for $225 "
Payment,Delinquency Letter,WDS3009000 - Delinquency letter He requested to waive off the late fee and the delinquency fee as he is regularly paying his HOA dues. 
Payment,payment,WDS1002000- Payment Methods Mauro wanted to know the payments methods available for make the payment for the 2019 HOA due. 
Payment,Make Payment,Pay in full for 2019 HOA dues Carla wanted to make a payment for the complete year 2019  HOA dues.  
Payment,ACH Setup,Update New Debit Card Details Paul got a new debit card and wanted to update the details with us to process the ACH. He also wanted to confirm the monthly dues for 2019. 
Payment,ACH Setup,"WDS4001300 - ACH Setup Steven called and wanted to know his outstanding balance, set-up the ACH and also asked about snow removal. "
Payment,Question,"PMN000B600 - Payment inquiry Tom wanted to know whether we have received the check, which he sent for his HOA dues for the month of September. "
Payment,Delinquency Letter,"WDS3006000 - Delinquency letter He received a delinquency letter stated that his HOA account is delinquent, but he has forwarded all the information to setup the account on autopay (ACH). "
Payment,ACH Setup,WDS1008800 - ACH Setup Dela called in and wanted to know whether we have received her ACH form & also change her mailing address. 
Payment,Question,SST0005200 - Confirmation Of HOA Payment  The homeowner called and wanted to confirm whether we have received his check sent on 02/17/2019 by mail . 
Maintenance,Pressure washing,Windows Bird feces on windows 
Payment,Make Payment,FOV0001900 - Make a payment I want to make a payment for the year 2019. 
Payment,Ledger/Statement,WDS5010500 - Ledger I want the statement of my HOA dues. 
Payment,Question,HOA Dues Balance Inquiry Joyce called to know the balance of her account. She needs the ledger and details to make the payment for HOA Dues 
Information,Keys,DMC: I want Know what is the procedure to get the store keys. DMC: I want to park my bicycle but i have lost my keys and i want get it as soon as possible.   
Payment,Question,SVT5140A00 - HOA dues. She wanted to check her HOA dues. 
Documents,Other,"WDS1003400 - Documents He called in and said that he is selling his house, so he'll need some documents from us. "
Website Access,Registration / Access Code,"Seaview Terrace Townhouses Condominium Owners Association 5130 Browns Pt Blvd-A Tacoma WA 98422 - Registered Incorrect Information My legal name is:  Anna Fox
My condo title is in the name Anna Fox "
Payment,Delinquency Letter,"WDS2002600 - Delinquency Letter Linda received a delinquency letter, she said that she has already made the payment for the entire year, still she received a letter. "
Information,Rental Cap,CPC0000500- Information on special assessment and rental waiting list Julie wanted to know the outstanding balance of the special assessments on her HOA account. She also wanted to know the waiting period on renting her condo. 
Information,Other,SST0005701 - Returning a phone call on voicemail He returned our phone call to confirm the property address. 
Payment,ACH Setup,MOP0030301 - ACH Setup She called in to make a payment for her HOA dues. 
Payment,Question,Address to send the check. She wanted to know where to send the check for the HOA dues. 
Payment,Make Payment,PSD0207100 - Make a Pyament leeza called in to Make a payment for $240. 
Payment,Question,WDS2002200 -  Payment He wanted to make a payment for the month of December. 
Resale Certificate,Resale Certificate,MOP0020300 - Resale Certificate Beth informed that Gerda is deceased and asked for Resale certificate on behalf of the current homeowner Lisa. 
Payment,Ledger/Statement,Requesting statements Requesting copy of statements and ledger so I can assure I am making correct payments and they are being applied. 
